Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
98;Métro;FORT D'AUBERVILLIERS;2328764;7;;;;;Aubervilliers;
129;Métro;ALEXANDRE DUMAS;1849785;2;;;;;Paris;11
156;Métro;LEDRU-ROLLIN;1636428;8;;;;;Paris;12
22;Métro;FRANKLIN D. ROOSEVELT;4691237;1;9;;;;Paris;8
40;Métro;BARBES-ROCHECHOUART;3530780;2;4;;;;Paris;18
65;RER;COURCELLE-SUR-YVETTE;280118;B;;;;;Gif sur Yvette;
60;Métro;CROIX DE CHAVAUX;2839164;9;;;;;Montreuil;
19;RER;SAINT-MICHEL-NOTRE-DAME;2716148;B;;;;;Paris;
58;RER;LE GUICHET;389736;B;;;;;Orsay;
1;Métro;SAINT-LAZARE;26904975;3;9;12;13;14;Paris;8
57;Métro;GALLIENI;2893664;3;;;;;Bagnolet;
17;Métro;PORTE DE VINCENNES;4840436;1;;;;;Paris;12
32;Métro;PORTE MAILLOT;3784418;1;;;;;Paris;16
85;Métro;SAINT-MICHEL;2481981;4;;;;;Paris;5
112;Métro;EGLISE DE PANTIN;2139986;5;;;;;Pantin;
175;Métro;VILLEJUIF-LEO LAGRANGE;1500000;7;;;;;Villejuif;
209;Métro;LOUIS BLANC;1226441;7;7bis;;;;Paris;10
38;RER;NOGENT-SUR-MARNE;1703324;A;;;;;Nogent-sur-Marne;
62;RER;GIF-SUR-YVETTE;324780;B;;;;;Gif sur Yvette;
232;Métro;VOLONTAIRES;1111705;12;;;;;Paris;15
9;RER;VINCENNES;4480985;A;;;;;Vincennes;
33;RER;BUSSY-SAINT-GEORGES;1897477;A;;;;;Bussy-Saint-Georges;
132;Métro;GONCOURT;1829817;11;;;;;Paris;11
272;Métro;EUROPE;769896;3;;;;;Paris;8
22;RER;TORCY;2448031;A;;;;;Torcy;
79;Métro;PLAISANCE;2590236;13;;;;;Paris;14
137;Métro;MAIRIE D'IVRY;1800848;7;;;;;Ivry;
20;Métro;BOBIGNY-PABLO PICASSO;4752569;5;;;;;Bobigny;
82;Métro;MAIRIE DES LILAS;2563685;11;;;;;Les Lilas;
88;Métro;ANVERS;2450333;2;;;;;Paris;18
188;Métro;RUE DES BOULETS;1383972;9;;;;;Paris;11
260;Métro;ABBESSES;854658;12;;;;;Paris;18
28;Métro;VILLEJUIF-LOUIS ARAGON;4029467;7;;;;;Villejuif;
50;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;3299036;7;9;;;;Paris;9
128;Métro;ECOLE MILITAIRE;1863016;8;;;;;Paris;7
143;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;1726493;5;;;;;Pantin;
160;Métro;ARGENTINE;1603575;1;;;;;Paris;17
164;Métro;SIMPLON;1576778;4;;;;;Paris;18
167;Métro;CAMBRONNE;1567953;6;;;;;Paris;15
170;Métro;ALMA-MARCEAU;1547789;9;;;;;Paris;8
216;Métro;LE PELETIER;1203233;7;;;;;Paris;9
225;Métro;COURCELLES;1168779;2;;;;;Paris;17
249;Métro;BOISSIERE;925034;6;;;;;Paris;16
259;Métro;RASPAIL;867633;4;6;;;;Paris;14
263;Métro;MABILLON;839743;10;;;;;Paris;6
286;Métro;VARENNE;559530;13;;;;;Paris;7
305;Métro;CLICHY SAINT-OUEN;75809;14;;;;;Saint-ouen;
1;RER;GARE DU NORD-RER;25134283;B;;;;;Paris;10
17;RER;VAL D'EUROPE;2816459;A;;;;;Serris;
31;RER;LAPLACE;1943309;B;;;;;Arcueil;
37;RER;BOISSY-SAINT-LEGER;1791386;A;;;;;Boissy-Saint-Léger;
43;RER;BAGNEUX;1323158;B;;;;;Cachan;
227;Métro;RICHARD LENOIR;1148587;5;;;;;Paris;11
296;Métro;CHARDON-LAGACHE;331901;10;;;;;Paris;16
57;RER;FONTAINE-MICHALON;425164;B;;;;;Antony;
45;RER;LE PARC DE SAINT-MAUR;1240624;A;;;;;Saint-Maur des Fossés;
60;RER;SCEAUX;358354;B;;;;;sceaux;
297;Métro;BOLIVAR;278933;7bis;;;;;Paris;19
36;RER;LA CROIX DE BERNY;1799762;B;;;;;Antony;
52;RER;LE VESINET-CENTRE;760964;A;;;;;Le Vésinet;
148;Métro;GARIBALDI;1697555;13;;;;;Saint Ouen;
217;Métro;DUGOMMIER;1200589;6;;;;;Paris;12
150;Métro;CRETEIL-POINTE DU LAC;1684557;8;;;;;Créteil;
168;Métro;SAINT-AUGUSTIN;1563979;9;;;;;Paris;8
190;Métro;PASSY;1380218;6;;;;;Paris;16
202;Métro;PLACE MONGE;1269871;7;;;;;Paris;6
215;Métro;CARREFOUR PLEYEL;1205747;13;;;;;Saint Denis;
247;Métro;QUATRE-SEPTEMBRE;938821;3;;;;;Paris;2
300;Métro;BUTTES-CHAUMONT;242027;7bis;;;;;Paris;19
50;RER;LES BACONNETS;1098252;B;;;;;Antony;
262;Métro;CLUNY LA SORBONNE;842980;10;;;;;Paris;5
5;RER;NANTERRE-PREFECTURE;13379344;A;;;;;Nanterre;
55;RER;SAINT-REMY-LES-CHEVREUSE;446253;B;;;;;St-Rémy-Lès-Chevreuse;
19;Métro;CHATEAU ROUGE;4761367;4;;;;;Paris;18
71;Métro;BALARD;2643639;8;;;;;Paris;15
92;Métro;PONT DE LEVALLOIS-BECON;2404120;3;;;;;Levallois-Perret;
111;Métro;MENILMONTANT;2171543;2;;;;;Paris;11
138;Métro;CORENTIN CELTON;1774654;12;;;;;Issy Les Moulineaux;
59;Métro;MARCEL SEMBAT;2845520;9;;;;;Boulogne Billancourt;
179;Métro;PORTE DAUPHINE;1460742;2;;;;;Paris;16
299;Métro;PORTE D'AUTEUIL;262784;10;;;;;Paris;16
290;Métro;KLEBER;513955;6;;;;;Paris;16
63;RER;MASSY-VERRIERES;296614;B;;;;;Massy;
14;Métro;PLACE D'ITALIE;5031748;5;6;7;;;Paris;13
24;Métro;ESPLANADE DE LA DEFENSE;4488878;1;;;;;Puteaux;
25;Métro;MADELEINE;4297547;8;12;14;;;Paris;8
51;Métro;BERCY;3189247;6;14;;;;Paris;12
110;Métro;GLACIERE;2184910;6;;;;;Paris;13
127;Métro;JUSSIEU;1891986;7;10;;;;Paris;5
141;Métro;BOUCICAUT;1734347;8;;;;;Paris;15
149;Métro;POISSONNIERE;1686977;7;;;;;Paris;10
174;Métro;FRONT POPULAIRE;1525242;12;;;;;Saint Denis / Aubervilliers;
182;Métro;PORTE DOREE;1428784;8;;;;;Paris;12
198;Métro;MARAICHERS;1316167;9;;;;;Paris;20
210;Métro;RIQUET;1226397;7;;;;;Paris;19
235;Métro;PORTE D'IVRY;1055770;7;;;;;Paris;13
242;Métro;CHATEAU-LANDON;1009087;7;;;;;Paris;10
252;Métro;RUE DU BAC;916367;12;;;;;Paris;7
77;Métro;HOCHE;2616315;5;;;;;Pantin;
134;Métro;CHARONNE;1815517;9;;;;;Paris;12
265;Métro;SAINT-SEBASTIEN-FROISSART;816381;8;;;;;Paris;3
10;RER;CHARLES DE GAULLE-ETOILE-RER;4070214;A;;;;;Paris;17
68;Métro;GABRIEL PERI;2667469;13;;;;;Asnières;
125;Métro;CRETEIL-UNIVERSITE;1935234;8;;;;;Créteil;
131;Métro;DUPLEIX;1839499;6;;;;;Paris;15
302;Métro;PELLEPORT;178325;3bis;;;;;Paris;20
42;RER;ORSAY-VILLE;1383444;B;;;;;Orsay;
113;Métro;LA MUETTE;2114924;9;;;;;Paris;16
117;Métro;CHATEAU D'EAU;2069680;4;;;;;Paris;10
166;Métro;FAIDHERBE-CHALIGNY;1570746;8;;;;;Paris;12
203;Métro;ETIENNE MARCEL;1254829;4;;;;;Paris;1
26;Métro;STRASBOURG-SAINT-DENIS;4275630;4;8;9;;;Paris;2
224;Métro;BEL AIR;1168869;6;;;;;Paris;12
237;Métro;MALAKOFF-RUE ETIENNE DOLET;1054998;13;;;;;Malakoff;
73;Métro;PASTEUR;2625552;6;12;;;;Paris;9
136;Métro;JULES JOFFRIN;1806947;12;;;;;Paris;18
145;Métro;VAUGIRARD;1709593;12;;;;;Paris;15
27;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;4131018;7;;;;;Aubervilliers;
38;Métro;TROCADERO;3618422;6;9;;;;Paris;16
105;Métro;SAINT-DENIS-PORTE DE PARIS;2236506;13;;;;;Saint Denis;
200;Métro;LES AGNETTES;1283180;13;;;;;Asnières sur Seine;
169;Métro;CENSIER-DAUBENTON;1557698;7;;;;;Paris;6
221;Métro;GUY MOQUET;1191891;13;;;;;Paris;17
2;RER;GARE DE LYON-RER;21749596;A;;;;;Paris;12
284;Métro;PONT NEUF;605030;7;;;;;Paris;4
32;RER;ARCUEIL-CACHAN;1900758;B;;;;;Arcueil;
54;RER;PALAISEAU;518346;B;;;;;Palaiseau;
8;Métro;LES HALLES;8019633;4;;;;;Paris;1
49;Métro;GAMBETTA;3310515;3;3bis;;;;Paris;20
63;Métro;DAUMESNIL;2723508;6;8;;;;Paris;12
90;Métro;SEVRES-BABYLONE;2441636;10;12;;;;Paris;7
267;Métro;MONTGALLET;804190;8;;;;;Paris;12
192;Métro;NATIONALE;1360198;6;;;;;Paris;13
254;Métro;MICHEL BIZOT;910938;8;;;;;Paris;12
268;Métro;SEGUR;804110;10;;;;;Paris;15
292;Métro;RENNES;506779;12;;;;;Paris;6
61;RER;BURES-SUR-YVETTE;333714;B;;;;;Bures sur Yvette;
220;Métro;TELEGRAPHE;1194040;11;;;;;Paris;20
