station,reseau,trafic,arrondissement,nb_corr,lat,lon
FORT D'AUBERVILLIERS,Métro,2328764,,1,,
ALEXANDRE DUMAS,Métro,1849785,11.0,1,48.8563002,2.3944412
LEDRU-ROLLIN,Métro,1636428,12.0,1,48.8512945,2.3760274
FRANKLIN D. ROOSEVELT,Métro,4691237,8.0,2,48.8690339,2.3099266
BARBES-ROCHECHOUART,Métro,3530780,18.0,2,48.8837837,2.3495072
COURCELLE-SUR-YVETTE,RER,280118,,1,,
CROIX DE CHAVAUX,Métro,2839164,,1,,
SAINT-MICHEL-NOTRE-DAME,RER,2716148,,1,48.8534102,2.3456233
LE GUICHET,RER,389736,,1,48.8405483,2.3222504
SAINT-LAZARE,Métro,26904975,8.0,5,48.8754153,2.3253531
GALLIENI,Métro,2893664,,1,48.8380843,2.2518892
PORTE DE VINCENNES,Métro,4840436,12.0,1,48.8473367,2.408086
PORTE MAILLOT,Métro,3784418,16.0,1,48.8777372,2.2827016
SAINT-MICHEL,Métro,2481981,5.0,1,48.8532864,2.3435081
EGLISE DE PANTIN,Métro,2139986,,1,,
VILLEJUIF-LEO LAGRANGE,Métro,1500000,,1,48.8051317,2.3637903
LOUIS BLANC,Métro,1226441,10.0,2,48.8813308,2.3653555
NOGENT-SUR-MARNE,RER,1703324,,1,48.8455927,2.4249063
GIF-SUR-YVETTE,RER,324780,,1,48.7101496,2.1532099
VOLONTAIRES,Métro,1111705,15.0,1,48.8415334,2.3080102
VINCENNES,RER,4480985,,1,48.831548,2.4341479
BUSSY-SAINT-GEORGES,RER,1897477,,1,,
GONCOURT,Métro,1829817,11.0,1,48.8699854,2.3710671
EUROPE,Métro,769896,8.0,1,48.8787706,2.3222823
TORCY,RER,2448031,,1,48.8905061,2.3599967
PLAISANCE,Métro,2590236,14.0,1,48.8317665,2.3140421
MAIRIE D'IVRY,Métro,1800848,,1,48.8460095,2.3557922
BOBIGNY-PABLO PICASSO,Métro,4752569,,1,,
MAIRIE DES LILAS,Métro,2563685,,1,48.8797369,2.4160498
ANVERS,Métro,2450333,18.0,1,48.8828803,2.3442565
RUE DES BOULETS,Métro,1383972,11.0,1,48.8525808,2.3887914
ABBESSES,Métro,854658,18.0,1,48.8848041,2.3386421
VILLEJUIF-LOUIS ARAGON,Métro,4029467,,1,48.8460095,2.3557922
CHAUSSEE D'ANTIN-LA FAYETTE,Métro,3299036,9.0,2,48.8730441,2.3332127
ECOLE MILITAIRE,Métro,1863016,7.0,1,48.8518484,2.3047565
BOBIGNY-PANTIN-RAYMOND QUENEAU,Métro,1726493,,1,48.8954065,2.42519
ARGENTINE,Métro,1603575,17.0,1,48.8753357,2.2901322
SIMPLON,Métro,1576778,18.0,1,48.8938481,2.3478412
CAMBRONNE,Métro,1567953,15.0,1,48.8475232,2.3029457
ALMA-MARCEAU,Métro,1547789,8.0,1,48.8648683,2.300292
LE PELETIER,Métro,1203233,9.0,1,48.8749504,2.3404834
COURCELLES,Métro,1168779,17.0,1,48.8794066,2.3043565
BOISSIERE,Métro,925034,16.0,1,48.8670421,2.2900911
RASPAIL,Métro,867633,14.0,2,48.8389219,2.3307369
MABILLON,Métro,839743,6.0,1,48.8528857,2.3349394
VARENNE,Métro,559530,7.0,1,48.856226,2.314965
CLICHY SAINT-OUEN,Métro,75809,,1,,
GARE DU NORD-RER,RER,25134283,10.0,1,48.881399,2.357438
VAL D'EUROPE,RER,2816459,,1,48.8767274,2.3213785
LAPLACE,RER,1943309,,1,48.8473298,2.3474591
BOISSY-SAINT-LEGER,RER,1791386,,1,48.7533658,2.5069852
BAGNEUX,RER,1323158,,1,48.8197567,2.3237187
RICHARD LENOIR,Métro,1148587,11.0,1,48.860218,2.3720497
CHARDON-LAGACHE,Métro,331901,16.0,1,48.8454285,2.2671305
FONTAINE-MICHALON,RER,425164,,1,,
LE PARC DE SAINT-MAUR,RER,1240624,,1,,
SCEAUX,RER,358354,,1,,
BOLIVAR,Métro,278933,19.0,1,48.8809263,2.3739077
LA CROIX DE BERNY,RER,1799762,,1,,
LE VESINET-CENTRE,RER,760964,,1,,
GARIBALDI,Métro,1697555,,1,48.8484831,2.3018936
DUGOMMIER,Métro,1200589,12.0,1,48.8390379,2.3897217
CRETEIL-POINTE DU LAC,Métro,1684557,,1,,
SAINT-AUGUSTIN,Métro,1563979,8.0,1,48.874471,2.3217921
PASSY,Métro,1380218,16.0,1,48.8575047,2.2809828
PLACE MONGE,Métro,1269871,6.0,1,48.8429053,2.3522772
CARREFOUR PLEYEL,Métro,1205747,,1,,
QUATRE-SEPTEMBRE,Métro,938821,2.0,1,48.8695929,2.3358665
BUTTES-CHAUMONT,Métro,242027,19.0,1,48.8783961,2.3812008
LES BACONNETS,RER,1098252,,1,,
CLUNY LA SORBONNE,Métro,842980,5.0,1,48.8510938,2.3441587
NANTERRE-PREFECTURE,RER,13379344,,1,,
SAINT-REMY-LES-CHEVREUSE,RER,446253,,1,,
CHATEAU ROUGE,Métro,4761367,18.0,1,48.8872884,2.3495532
BALARD,Métro,2643639,15.0,1,48.8363968,2.278379
PONT DE LEVALLOIS-BECON,Métro,2404120,,1,,
MENILMONTANT,Métro,2171543,11.0,1,48.8667039,2.3833464
CORENTIN CELTON,Métro,1774654,,1,,
MARCEL SEMBAT,Métro,2845520,,1,48.8986738,2.3383323
PORTE DAUPHINE,Métro,1460742,16.0,1,48.871598,2.2773184
PORTE D'AUTEUIL,Métro,262784,16.0,1,48.8480881,2.2587539
KLEBER,Métro,513955,16.0,1,48.8715549,2.2934481
MASSY-VERRIERES,RER,296614,,1,,
PLACE D'ITALIE,Métro,5031748,13.0,3,48.8309446,2.3558932
ESPLANADE DE LA DEFENSE,Métro,4488878,,1,,
MADELEINE,Métro,4297547,8.0,3,48.8704096,2.3265686
BERCY,Métro,3189247,12.0,2,48.8391964,2.382849
GLACIERE,Métro,2184910,13.0,1,48.8311451,2.3434916
JUSSIEU,Métro,1891986,5.0,2,48.8461357,2.3559859
BOUCICAUT,Métro,1734347,15.0,1,48.8410837,2.2879218
POISSONNIERE,Métro,1686977,10.0,1,48.8772375,2.3492347
FRONT POPULAIRE,Métro,1525242,,1,48.8785256,2.3374225
PORTE DOREE,Métro,1428784,12.0,1,48.8352765,2.4061775
MARAICHERS,Métro,1316167,20.0,1,48.8527267,2.4061303
RIQUET,Métro,1226397,19.0,1,48.8884812,2.3742226
